Game,Console,Developer,Publisher,Release_Date,Sales
Super Mario Bros. †,NES,Nintendo R&D4,Nintendo,"September 13, 1985",40240000
Duck Hunt †,NES,Nintendo R&D1,Nintendo,"April 21, 1984",28310000
Super Mario Bros. 3 †,NES,Nintendo R&D4,Nintendo,"October 23, 1988",18000000
Tetris,NES,Nintendo R&D1,Nintendo,November 1989,8000000
Super Mario Bros. 2 (international version),NES,Nintendo R&D4,Nintendo,"October 9, 1988",7460000
The Legend of Zelda,NES,Nintendo R&D4,Nintendo,"February 21, 1986",6510000
Dr. Mario,NES,Nintendo R&D1,Nintendo,"July 27, 1990",4850000
Zelda II: The Adventure of Link,NES,Nintendo R&D4,Nintendo,"January 14, 1987",4380000
Excitebike,NES,Nintendo R&D1,Nintendo,"November 30, 1984",4160000
Golf,NES,Nintendo R&D1,Nintendo,"May 1, 1984",4010000
Teenage Mutant Ninja Turtles †,NES,Konami,JP: KonamiNA: Ultra Games,"May 12, 1989",4000000
Dragon Quest III,NES,Chunsoft,Enix,"February 10, 1988",3895000
Kung Fu,NES,Nintendo R&D1,Nintendo,"October 18, 1985",3500000
Baseball,NES,Nintendo R&D1,Nintendo,"December 7, 1983",3200000
Dragon Quest IV,NES,Chunsoft,Enix,"February 11, 1990",3180000
World Class Track Meet †,NES,TRY Co.,Nintendo,"December 23, 1986",3080000
Punch-Out!!,NES,Nintendo R&D3,Nintendo,"September 18, 1987",3000000
Metroid,NES,Nintendo R&D1[c],Nintendo,"August 6, 1986",2730000
Super Mario Bros. 2 (Japanese version),NES,Nintendo R&D4,Nintendo,"June 3, 1986",2650000
Dragon Quest II,NES,Chunsoft,Enix,"January 26, 1987",2550000
Ice Hockey,NES,Nintendo R&D2,Nintendo,"January 21, 1988",2420000
Pro Wrestling,NES,Nintendo R&D3,Nintendo,"October 13, 1986",2400000
Mario Bros.,NES,Nintendo R&D1,Nintendo,"September 9, 1983",2280000
Tennis,NES,Nintendo R&D1[d],Nintendo,"January 14, 1984",2170000
Volleyball,NES,Nintendo R&D3,Nintendo,"July 21, 1986",2150000
Mahjong,NES,Nintendo R&D1,Nintendo,"August 27, 1983",2140000
R.C. Pro-Am,NES,Rare,Nintendo,February 1988,2140000
Pro Yakyū Family Stadium (R.B.I. Baseball),NES,Namco,Namco,"December 10, 1986",2050000
